time,wave_height,wave_period,wave_direction,swell_wave_height,swell_wave_period,wind_wave_height,sea_surface_temperature,zone_id,zone_name,wind_speed_10m,wind_direction_10m,wind_gusts_10m,weather_code,precipitation,month,hour,wave_height_t0,wave_period_t0,swell_wave_height_t0,swell_wave_period_t0,wind_wave_height_t0,wind_speed_t0,wind_gusts_t0,sea_surface_temperature_t0,weather_code_t0,wave_height_t-3h,wave_height_t-6h,wind_speed_t-3h,wind_speed_t-6h,wave_delta_3h,wave_delta_6h,wind_delta_3h,swell_trend,wave_wind_ratio,swell_steepness,wave_energy,monsoon_flag,safety_6h,safety_12h,safety_24h
2026-04-07 16:00:00,0.68,11.25,144,0.62,9.5,0.02,30.8,0,Bay of Bengal,15.9,64,21.6,3,0.0,4,16,0.68,11.25,0.62,9.5,0.02,15.9,21.6,30.8,3,0.66,0.66,5.6,1.6,0.020000000000000018,0.020000000000000018,10.3,0.020000000000000018,0.04276729559748428,0.06526315789473684,0.4624000000000001,0,1,1,0
2026-04-07 17:00:00,0.68,11.15,144,0.62,9.7,0.04,30.8,0,Bay of Bengal,16.6,77,24.5,2,0.0,4,17,0.68,11.15,0.62,9.7,0.04,16.6,24.5,30.8,2,0.66,0.66,9.4,1.4,0.020000000000000018,0.020000000000000018,7.200000000000001,0.0,0.04096385542168675,0.06391752577319589,0.4624000000000001,0,1,1,1
2026-04-07 18:00:00,0.7,10.85,143,0.64,9.6,0.1,30.8,0,Bay of Bengal,17.6,79,23.0,3,0.0,4,18,0.7,10.85,0.64,9.6,0.1,17.6,23.0,30.8,3,0.66,0.66,15.3,3.6,0.039999999999999925,0.039999999999999925,2.3000000000000007,0.020000000000000018,0.039772727272727265,0.06666666666666667,0.48999999999999994,0,1,1,1
2026-04-07 19:00:00,0.7,10.45,141,0.64,9.3,0.16,30.7,0,Bay of Bengal,16.4,87,22.3,3,0.0,4,19,0.7,10.45,0.64,9.3,0.16,16.4,22.3,30.7,3,0.68,0.66,15.9,5.6,0.019999999999999907,0.039999999999999925,0.4999999999999982,0.020000000000000018,0.042682926829268296,0.06881720430107527,0.48999999999999994,0,1,1,1
2026-04-07 20:00:00,0.72,10.15,140,0.66,9.1,0.22,30.6,0,Bay of Bengal,10.9,110,20.9,3,0.0,4,20,0.72,10.15,0.66,9.1,0.22,10.9,20.9,30.6,3,0.68,0.66,16.6,9.4,0.039999999999999925,0.05999999999999994,-5.700000000000001,0.040000000000000036,0.06605504587155962,0.07252747252747253,0.5184,0,1,1,1
2026-04-07 21:00:00,0.72,10.1,140,0.66,9.05,0.2,30.6,0,Bay of Bengal,12.8,110,16.2,0,0.0,4,21,0.72,10.1,0.66,9.05,0.2,12.8,16.2,30.6,0,0.7,0.66,17.6,15.3,0.020000000000000018,0.05999999999999994,-4.800000000000001,0.020000000000000018,0.056249999999999994,0.07292817679558011,0.5184,0,1,1,1
2026-04-07 22:00:00,0.72,10.1,141,0.66,9.05,0.2,30.5,0,Bay of Bengal,14.7,114,19.1,0,0.0,4,22,0.72,10.1,0.66,9.05,0.2,14.7,19.1,30.5,0,0.7,0.68,16.4,15.9,0.020000000000000018,0.039999999999999925,-1.6999999999999993,0.020000000000000018,0.04897959183673469,0.07292817679558011,0.5184,0,1,0,1
2026-04-07 23:00:00,0.72,10.15,141,0.66,9.05,0.18,30.4,0,Bay of Bengal,16.7,106,19.4,0,0.0,4,23,0.72,10.15,0.66,9.05,0.18,16.7,19.4,30.4,0,0.72,0.68,10.9,16.6,0.0,0.039999999999999925,5.799999999999999,0.0,0.04311377245508982,0.07292817679558011,0.5184,0,1,0,1
2026-04-08 00:00:00,0.72,10.15,141,0.66,9.0,0.16,30.4,0,Bay of Bengal,18.1,114,23.0,2,0.0,4,0,0.72,10.15,0.66,9.0,0.16,18.1,23.0,30.4,2,0.72,0.7,12.8,17.6,0.0,0.020000000000000018,5.300000000000001,0.0,0.039779005524861875,0.07333333333333333,0.5184,0,1,0,1
2026-04-08 01:00:00,0.72,10.15,141,0.66,8.95,0.14,30.3,0,Bay of Bengal,15.3,183,23.0,51,0.4,4,1,0.72,10.15,0.66,8.95,0.14,15.3,23.0,30.3,51,0.72,0.7,14.7,16.4,0.0,0.020000000000000018,0.6000000000000014,0.0,0.047058823529411764,0.07374301675977654,0.5184,0,1,0,1
2026-04-08 02:00:00,0.72,10.15,141,0.66,8.95,0.12,30.3,0,Bay of Bengal,16.3,172,22.7,51,0.3,4,2,0.72,10.15,0.66,8.95,0.12,16.3,22.7,30.3,51,0.72,0.72,16.7,10.9,0.0,0.0,-0.3999999999999986,0.0,0.04417177914110429,0.07374301675977654,0.5184,0,1,0,1
2026-04-08 03:00:00,0.72,10.2,141,0.66,9.0,0.1,30.3,0,Bay of Bengal,15.9,162,23.4,3,0.0,4,3,0.72,10.2,0.66,9.0,0.1,15.9,23.4,30.3,3,0.72,0.72,18.1,12.8,0.0,0.0,-2.200000000000001,0.0,0.045283018867924525,0.07333333333333333,0.5184,0,1,0,1
2026-04-08 04:00:00,0.7,10.3,142,0.66,9.15,0.08,30.3,0,Bay of Bengal,15.0,170,22.0,3,0.0,4,4,0.7,10.3,0.66,9.15,0.08,15.0,22.0,30.3,3,0.72,0.72,15.3,14.7,-0.020000000000000018,-0.020000000000000018,-0.3000000000000007,0.0,0.04666666666666666,0.07213114754098361,0.48999999999999994,0,0,0,1
2026-04-08 05:00:00,0.7,10.4,142,0.66,9.2,0.06,30.3,0,Bay of Bengal,13.8,169,24.5,3,0.0,4,5,0.7,10.4,0.66,9.2,0.06,13.8,24.5,30.3,3,0.72,0.72,16.3,16.7,-0.020000000000000018,-0.020000000000000018,-2.5,0.0,0.05072463768115942,0.07173913043478261,0.48999999999999994,0,0,1,0
2026-04-08 06:00:00,0.68,10.45,142,0.66,9.2,0.04,30.4,0,Bay of Bengal,10.4,169,18.7,3,0.0,4,6,0.68,10.45,0.66,9.2,0.04,10.4,18.7,30.4,3,0.72,0.72,15.9,18.1,-0.039999999999999925,-0.039999999999999925,-5.5,0.0,0.06538461538461539,0.07173913043478261,0.4624000000000001,0,0,1,0
2026-04-08 07:00:00,0.68,10.5,142,0.64,9.2,0.02,30.5,0,Bay of Bengal,9.0,168,15.1,3,0.0,4,7,0.68,10.5,0.64,9.2,0.02,9.0,15.1,30.5,3,0.7,0.72,15.0,15.3,-0.019999999999999907,-0.039999999999999925,-6.0,-0.020000000000000018,0.07555555555555556,0.06956521739130435,0.4624000000000001,0,0,1,0
2026-04-08 08:00:00,0.66,10.45,142,0.64,9.15,0.0,30.7,0,Bay of Bengal,10.0,171,14.8,3,0.0,4,8,0.66,10.45,0.64,9.15,0.0,10.0,14.8,30.7,3,0.7,0.72,13.8,16.3,-0.039999999999999925,-0.05999999999999994,-3.8000000000000007,-0.020000000000000018,0.066,0.06994535519125683,0.43560000000000004,0,0,1,0
2026-04-08 09:00:00,0.64,10.3,142,0.62,9.0,0.0,30.8,0,Bay of Bengal,7.9,179,14.8,3,0.0,4,9,0.64,10.3,0.62,9.0,0.0,7.9,14.8,30.8,3,0.68,0.72,10.4,15.9,-0.040000000000000036,-0.07999999999999996,-2.5,-0.040000000000000036,0.0810126582278481,0.06888888888888889,0.4096,0,0,1,0
2026-04-08 10:00:00,0.6,10.1,142,0.6,8.8,0.0,30.9,0,Bay of Bengal,5.4,176,12.2,3,0.0,4,10,0.6,10.1,0.6,8.8,0.0,5.4,12.2,30.9,3,0.68,0.7,9.0,15.0,-0.08000000000000007,-0.09999999999999998,-3.5999999999999996,-0.040000000000000036,0.1111111111111111,0.06818181818181818,0.36,0,0,1,0
2026-04-08 11:00:00,0.58,9.95,142,0.58,8.65,0.0,31.0,0,Bay of Bengal,6.0,163,10.4,3,0.0,4,11,0.58,9.95,0.58,8.65,0.0,6.0,10.4,31.0,3,0.66,0.7,10.0,13.8,-0.08000000000000007,-0.12,-4.0,-0.06000000000000005,0.09666666666666666,0.06705202312138728,0.3364,0,1,1,0
2026-04-08 12:00:00,0.56,9.85,142,0.56,8.55,0.0,31.1,0,Bay of Bengal,7.3,147,11.2,1,0.0,4,12,0.56,9.85,0.56,8.55,0.0,7.3,11.2,31.1,1,0.64,0.68,7.9,10.4,-0.07999999999999996,-0.12,-0.6000000000000005,-0.05999999999999994,0.07671232876712329,0.06549707602339182,0.31360000000000005,0,1,1,0
2026-04-08 13:00:00,0.56,9.8,143,0.54,8.45,0.02,31.1,0,Bay of Bengal,8.4,137,12.2,3,0.0,4,13,0.56,9.8,0.54,8.45,0.02,8.4,12.2,31.1,3,0.6,0.68,5.4,9.0,-0.039999999999999925,-0.12,3.0,-0.05999999999999994,0.06666666666666667,0.06390532544378699,0.31360000000000005,0,1,1,0
2026-04-08 14:00:00,0.54,9.75,143,0.52,8.45,0.02,31.2,0,Bay of Bengal,8.6,126,13.3,3,0.0,4,14,0.54,9.75,0.52,8.45,0.02,8.6,13.3,31.2,3,0.58,0.66,6.0,10.0,-0.039999999999999925,-0.12,2.5999999999999996,-0.05999999999999994,0.06279069767441861,0.06153846153846155,0.2916,0,1,1,0
2026-04-08 15:00:00,0.54,9.8,143,0.52,8.5,0.06,31.2,0,Bay of Bengal,12.2,112,16.6,3,0.0,4,15,0.54,9.8,0.52,8.5,0.06,12.2,16.6,31.2,3,0.56,0.64,7.3,7.9,-0.020000000000000018,-0.09999999999999998,4.8999999999999995,-0.040000000000000036,0.04426229508196722,0.0611764705882353,0.2916,0,1,1,0
2026-04-08 16:00:00,0.56,9.95,142,0.52,8.6,0.08,31.2,0,Bay of Bengal,16.2,111,21.6,3,0.0,4,16,0.56,9.95,0.52,8.6,0.08,16.2,21.6,31.2,3,0.56,0.6,8.4,5.4,0.0,-0.039999999999999925,7.799999999999999,-0.020000000000000018,0.034567901234567905,0.060465116279069774,0.31360000000000005,0,1,1,0
2026-04-08 17:00:00,0.56,9.95,142,0.52,8.7,0.12,31.2,0,Bay of Bengal,18.3,114,24.5,3,0.0,4,17,0.56,9.95,0.52,8.7,0.12,18.3,24.5,31.2,3,0.54,0.58,8.6,6.0,0.020000000000000018,-0.019999999999999907,9.700000000000001,0.0,0.030601092896174867,0.05977011494252874,0.31360000000000005,0,1,0,0
2026-04-08 18:00:00,0.58,9.75,141,0.54,8.75,0.16,31.1,0,Bay of Bengal,20.8,116,26.3,3,0.0,4,18,0.58,9.75,0.54,8.75,0.16,20.8,26.3,31.1,3,0.54,0.56,12.2,7.3,0.039999999999999925,0.019999999999999907,8.600000000000001,0.020000000000000018,0.027884615384615383,0.06171428571428572,0.3364,0,1,0,1
2026-04-08 19:00:00,0.58,9.5,141,0.54,8.85,0.18,31.0,0,Bay of Bengal,21.7,117,27.7,3,0.0,4,19,0.58,9.5,0.54,8.85,0.18,21.7,27.7,31.0,3,0.56,0.56,16.2,8.4,0.019999999999999907,0.019999999999999907,5.5,0.020000000000000018,0.02672811059907834,0.06101694915254238,0.3364,0,1,0,1
2026-04-08 20:00:00,0.6,9.25,140,0.56,8.9,0.22,30.9,0,Bay of Bengal,21.9,118,27.7,3,0.0,4,20,0.6,9.25,0.56,8.9,0.22,21.9,27.7,30.9,3,0.56,0.54,18.3,8.6,0.039999999999999925,0.05999999999999994,3.599999999999998,0.040000000000000036,0.027397260273972605,0.06292134831460675,0.36,0,1,0,1
2026-04-08 21:00:00,0.6,9.1,140,0.54,9.0,0.22,30.8,0,Bay of Bengal,21.9,126,28.4,1,0.0,4,21,0.6,9.1,0.54,9.0,0.22,21.9,28.4,30.8,1,0.58,0.54,20.8,12.2,0.020000000000000018,0.05999999999999994,1.0999999999999979,0.0,0.027397260273972605,0.060000000000000005,0.36,0,1,0,1
2026-04-08 22:00:00,0.62,9.05,141,0.54,9.1,0.24,30.7,0,Bay of Bengal,20.6,136,27.7,2,0.0,4,22,0.62,9.05,0.54,9.1,0.24,20.6,27.7,30.7,2,0.58,0.56,21.7,16.2,0.040000000000000036,0.05999999999999994,-1.0999999999999979,0.0,0.030097087378640773,0.059340659340659345,0.3844,0,1,0,1
2026-04-08 23:00:00,0.62,9.0,141,0.52,9.1,0.24,30.7,0,Bay of Bengal,20.2,134,27.4,1,0.0,4,23,0.62,9.0,0.52,9.1,0.24,20.2,27.4,30.7,1,0.6,0.56,21.9,18.3,0.020000000000000018,0.05999999999999994,-1.6999999999999993,-0.040000000000000036,0.030693069306930693,0.05714285714285715,0.3844,0,0,0,1
2026-04-09 00:00:00,0.62,9.05,141,0.52,8.9,0.2,30.6,0,Bay of Bengal,20.2,143,25.6,1,0.0,4,0,0.62,9.05,0.52,8.9,0.2,20.2,25.6,30.6,1,0.6,0.58,21.9,20.8,0.020000000000000018,0.040000000000000036,-1.6999999999999993,-0.020000000000000018,0.030693069306930693,0.058426966292134834,0.3844,0,0,0,1
2026-04-09 01:00:00,0.62,9.15,142,0.54,8.65,0.14,30.6,0,Bay of Bengal,20.0,146,26.3,3,0.0,4,1,0.62,9.15,0.54,8.65,0.14,20.0,26.3,30.6,3,0.62,0.58,20.6,21.7,0.0,0.040000000000000036,-0.6000000000000014,0.0,0.031,0.06242774566473989,0.3844,0,0,0,0
2026-04-09 02:00:00,0.62,9.25,142,0.54,8.4,0.1,30.6,0,Bay of Bengal,18.9,153,25.6,3,0.0,4,2,0.62,9.25,0.54,8.4,0.1,18.9,25.6,30.6,3,0.62,0.6,20.2,21.9,0.0,0.020000000000000018,-1.3000000000000007,0.020000000000000018,0.03280423280423281,0.0642857142857143,0.3844,0,0,0,0
2026-04-09 03:00:00,0.62,9.4,142,0.54,8.3,0.06,30.6,0,Bay of Bengal,20.0,154,25.6,3,0.0,4,3,0.62,9.4,0.54,8.3,0.06,20.0,25.6,30.6,3,0.62,0.6,20.2,21.9,0.0,0.020000000000000018,-0.1999999999999993,0.020000000000000018,0.031,0.06506024096385542,0.3844,0,0,0,0
2026-04-09 04:00:00,0.6,9.6,142,0.52,8.2,0.04,30.6,0,Bay of Bengal,18.3,163,25.9,3,0.0,4,4,0.6,9.6,0.52,8.2,0.04,18.3,25.9,30.6,3,0.62,0.62,20.0,20.6,-0.020000000000000018,-0.020000000000000018,-1.6999999999999993,-0.020000000000000018,0.032786885245901634,0.06341463414634146,0.36,0,0,0,0
2026-04-09 05:00:00,0.6,9.8,142,0.52,8.15,0.0,30.6,0,Bay of Bengal,12.3,185,23.8,3,0.0,4,5,0.6,9.8,0.52,8.15,0.0,12.3,23.8,30.6,3,0.62,0.62,18.9,20.2,-0.020000000000000018,-0.020000000000000018,-6.599999999999998,-0.020000000000000018,0.048780487804878044,0.06380368098159508,0.36,0,0,0,0
2026-04-09 06:00:00,0.6,10.0,142,0.52,8.1,0.0,30.6,0,Bay of Bengal,10.5,213,16.2,3,0.0,4,6,0.6,10.0,0.52,8.1,0.0,10.5,16.2,30.6,3,0.62,0.62,20.0,20.2,-0.020000000000000018,-0.020000000000000018,-9.5,-0.020000000000000018,0.05714285714285714,0.06419753086419754,0.36,0,0,1,0
2026-04-09 07:00:00,0.58,10.2,143,0.52,8.05,0.0,30.7,0,Bay of Bengal,11.4,233,16.2,3,0.0,4,7,0.58,10.2,0.52,8.05,0.0,11.4,16.2,30.7,3,0.6,0.62,18.3,20.0,-0.020000000000000018,-0.040000000000000036,-6.9,0.0,0.05087719298245613,0.06459627329192547,0.3364,0,0,1,0
2026-04-09 08:00:00,0.58,10.35,143,0.52,8.0,0.0,30.8,0,Bay of Bengal,10.5,243,16.2,3,0.0,4,8,0.58,10.35,0.52,8.0,0.0,10.5,16.2,30.8,3,0.6,0.62,12.3,18.9,-0.020000000000000018,-0.040000000000000036,-1.8000000000000007,0.0,0.05523809523809523,0.065,0.3364,0,0,1,0
2026-04-09 09:00:00,0.58,10.5,143,0.5,7.95,0.0,30.9,0,Bay of Bengal,9.6,249,15.5,3,0.0,4,9,0.58,10.5,0.5,7.95,0.0,9.6,15.5,30.9,3,0.6,0.62,10.5,20.0,-0.020000000000000018,-0.040000000000000036,-0.9000000000000004,-0.020000000000000018,0.06041666666666667,0.06289308176100629,0.3364,0,0,1,0
2026-04-09 10:00:00,0.58,10.6,143,0.5,7.9,0.0,31.0,0,Bay of Bengal,8.2,260,14.4,3,0.0,4,10,0.58,10.6,0.5,7.9,0.0,8.2,14.4,31.0,3,0.58,0.6,11.4,18.3,0.0,-0.020000000000000018,-3.200000000000001,-0.020000000000000018,0.07073170731707318,0.06329113924050632,0.3364,0,0,1,0
2026-04-09 11:00:00,0.58,10.7,143,0.48,7.85,0.0,31.0,0,Bay of Bengal,8.6,296,13.0,3,0.0,4,11,0.58,10.7,0.48,7.85,0.0,8.6,13.0,31.0,3,0.58,0.6,10.5,12.3,0.0,-0.020000000000000018,-1.9000000000000004,-0.040000000000000036,0.06744186046511627,0.061146496815286625,0.3364,0,0,1,0
2026-04-09 12:00:00,0.58,10.75,143,0.48,7.8,0.02,31.1,0,Bay of Bengal,5.5,311,13.0,3,0.0,4,12,0.58,10.75,0.48,7.8,0.02,5.5,13.0,31.1,3,0.58,0.6,9.6,10.5,0.0,-0.020000000000000018,-4.1,-0.020000000000000018,0.10545454545454545,0.061538461538461535,0.3364,0,1,1,0
2026-04-09 13:00:00,0.58,10.75,143,0.48,7.75,0.02,31.1,0,Bay of Bengal,3.8,343,9.4,2,0.0,4,13,0.58,10.75,0.48,7.75,0.02,3.8,9.4,31.1,2,0.58,0.58,8.2,11.4,0.0,0.0,-4.3999999999999995,-0.020000000000000018,0.15263157894736842,0.06193548387096774,0.3364,0,1,0,0
2026-04-09 14:00:00,0.58,10.75,143,0.48,7.8,0.04,31.2,0,Bay of Bengal,4.2,20,7.9,0,0.0,4,14,0.58,10.75,0.48,7.8,0.04,4.2,7.9,31.2,0,0.58,0.58,8.6,10.5,0.0,0.0,-4.3999999999999995,0.0,0.13809523809523808,0.061538461538461535,0.3364,0,1,0,0
2026-04-09 15:00:00,0.58,10.7,143,0.5,7.95,0.06,31.2,0,Bay of Bengal,7.9,55,11.5,0,0.0,4,15,0.58,10.7,0.5,7.95,0.06,7.9,11.5,31.2,0,0.58,0.58,5.5,9.6,0.0,0.0,2.4000000000000004,0.020000000000000018,0.07341772151898733,0.06289308176100629,0.3364,0,1,0,0
2026-04-09 16:00:00,0.58,10.6,143,0.5,8.15,0.1,31.2,0,Bay of Bengal,13.8,64,18.4,0,0.0,4,16,0.58,10.6,0.5,8.15,0.1,13.8,18.4,31.2,0,0.58,0.58,3.8,8.2,0.0,0.0,10.0,0.020000000000000018,0.042028985507246375,0.06134969325153374,0.3364,0,1,0,0
2026-04-09 17:00:00,0.58,10.45,143,0.52,8.35,0.12,31.2,0,Bay of Bengal,17.0,70,20.5,0,0.0,4,17,0.58,10.45,0.52,8.35,0.12,17.0,20.5,31.2,0,0.58,0.58,4.2,8.6,0.0,0.0,12.8,0.040000000000000036,0.03411764705882353,0.062275449101796415,0.3364,0,1,0,0
2026-04-09 18:00:00,0.6,10.2,141,0.54,8.6,0.16,31.2,0,Bay of Bengal,18.6,68,23.0,3,0.0,4,18,0.6,10.2,0.54,8.6,0.16,18.6,23.0,31.2,3,0.58,0.58,7.9,5.5,0.020000000000000018,0.020000000000000018,10.700000000000001,0.040000000000000036,0.03225806451612903,0.06279069767441861,0.36,0,1,0,0
2026-04-09 19:00:00,0.62,9.85,140,0.54,8.8,0.18,31.1,0,Bay of Bengal,20.6,68,27.0,2,0.0,4,19,0.62,9.85,0.54,8.8,0.18,20.6,27.0,31.1,2,0.58,0.58,13.8,3.8,0.040000000000000036,0.040000000000000036,6.800000000000001,0.040000000000000036,0.030097087378640773,0.06136363636363636,0.3844,0,0,0,0
2026-04-09 20:00:00,0.64,9.6,138,0.56,9.0,0.22,31.0,0,Bay of Bengal,17.5,73,26.6,2,0.0,4,20,0.64,9.6,0.56,9.0,0.22,17.5,26.6,31.0,2,0.58,0.58,17.0,4.2,0.06000000000000005,0.06000000000000005,0.5,0.040000000000000036,0.036571428571428574,0.06222222222222223,0.4096,0,0,0,1
2026-04-09 21:00:00,0.64,9.5,139,0.56,9.1,0.22,30.9,0,Bay of Bengal,20.2,76,25.6,1,0.0,4,21,0.64,9.5,0.56,9.1,0.22,20.2,25.6,30.9,1,0.6,0.58,18.6,7.9,0.040000000000000036,0.06000000000000005,1.5999999999999979,0.020000000000000018,0.031683168316831684,0.06153846153846155,0.4096,0,0,0,1
2026-04-09 22:00:00,0.62,9.5,139,0.58,9.15,0.22,30.8,0,Bay of Bengal,19.0,84,25.9,2,0.0,4,22,0.62,9.5,0.58,9.15,0.22,19.0,25.9,30.8,2,0.62,0.58,20.6,13.8,0.0,0.040000000000000036,-1.6000000000000014,0.039999999999999925,0.03263157894736842,0.0633879781420765,0.3844,0,0,0,1
2026-04-09 23:00:00,0.62,9.55,140,0.58,9.2,0.22,30.7,0,Bay of Bengal,18.0,88,24.5,1,0.0,4,23,0.62,9.55,0.58,9.2,0.22,18.0,24.5,30.7,1,0.64,0.58,17.5,17.0,-0.020000000000000018,0.040000000000000036,0.5,0.019999999999999907,0.034444444444444444,0.06304347826086956,0.3844,0,0,0,1
2026-04-10 00:00:00,0.62,9.6,140,0.58,9.25,0.18,30.7,0,Bay of Bengal,16.6,88,23.4,0,0.0,4,0,0.62,9.6,0.58,9.25,0.18,16.6,23.4,30.7,0,0.64,0.6,20.2,18.6,-0.020000000000000018,0.020000000000000018,-3.599999999999998,0.019999999999999907,0.03734939759036144,0.0627027027027027,0.3844,0,0,0,0
2026-04-10 01:00:00,0.6,9.7,141,0.56,9.25,0.12,30.6,0,Bay of Bengal,15.3,99,21.6,0,0.0,4,1,0.6,9.7,0.56,9.25,0.12,15.3,21.6,30.6,0,0.62,0.62,19.0,20.6,-0.020000000000000018,-0.020000000000000018,-3.6999999999999993,-0.019999999999999907,0.0392156862745098,0.06054054054054055,0.36,0,0,0,0
2026-04-10 02:00:00,0.6,9.8,141,0.56,9.2,0.08,30.6,0,Bay of Bengal,13.5,109,20.5,1,0.0,4,2,0.6,9.8,0.56,9.2,0.08,13.5,20.5,30.6,1,0.62,0.64,18.0,17.5,-0.020000000000000018,-0.040000000000000036,-4.5,-0.019999999999999907,0.044444444444444446,0.060869565217391314,0.36,0,0,0,0
2026-04-10 03:00:00,0.6,9.95,142,0.54,9.1,0.06,30.6,0,Bay of Bengal,11.9,119,18.4,0,0.0,4,3,0.6,9.95,0.54,9.1,0.06,11.9,18.4,30.6,0,0.62,0.64,16.6,20.2,-0.020000000000000018,-0.040000000000000036,-4.700000000000001,-0.039999999999999925,0.050420168067226885,0.059340659340659345,0.36,0,0,0,0
2026-04-10 04:00:00,0.58,10.1,143,0.54,8.95,0.02,30.6,0,Bay of Bengal,12.0,123,16.6,0,0.0,4,4,0.58,10.1,0.54,8.95,0.02,12.0,16.6,30.6,0,0.6,0.62,15.3,19.0,-0.020000000000000018,-0.040000000000000036,-3.3000000000000007,-0.020000000000000018,0.04833333333333333,0.06033519553072626,0.3364,0,0,0,0
2026-04-10 05:00:00,0.58,10.25,144,0.52,8.8,0.0,30.6,0,Bay of Bengal,8.8,121,16.6,0,0.0,4,5,0.58,10.25,0.52,8.8,0.0,8.8,16.6,30.6,0,0.6,0.62,13.5,18.0,-0.020000000000000018,-0.040000000000000036,-4.699999999999999,-0.040000000000000036,0.0659090909090909,0.05909090909090909,0.3364,0,0,0,0
